物种ID,物种名称,等级,全球发行上限,可用水域ID
1001,泥鳅,普通,36364,0/1
1002,鲫鱼,普通,36364,0/1
1003,鲤鱼,普通,36364,0/1
1004,白鲢,普通,36364,0/1
1005,花鲢,普通,36364,0/1
1006,青鱼,普通,36364,0/1
1007,鲶鱼,普通,36364,0/1
1008,鳡鱼,普通,36364,0/1
1009,黄辣丁,稀有,18519,0/1
1010,乌鱼,稀有,18519,0/1
1011,翘壳,稀有,18519,0/1
1012,鲈鱼,稀有,18519,0/1
1013,鳜鱼,稀有,18519,0/1
1015,军鱼,稀有,18519,0/1
1016,雅鱼,珍稀,8824,1
1017,江团,珍稀,8824,0/1
1018,七星鱼,珍稀,8824,0/1
1019,清波鱼,珍稀,8824,0/1
1020,甲鱼,珍稀,8824,0/1
1021,黄金鲫鱼,罕见,9091,0/1
1022,石爬子,罕见,9091,1
1023,胭脂鱼,罕见,9091,0/1
1024,中华鲟,极其罕见,4167,0/1
1025,芝麻剑,极其罕见,4167,1
1026,刀鱼,极其罕见,4167,0/1
1027,长薄鳅,极其罕见,4167,1
1028,岩原鲤,极其罕见,4167,1
1029,扁吻鱼,极其罕见,4167,1
1030,草鱼,普通,36364,0/1
1031,鳊鱼,普通,36364,0/1
1032,团头鲂,普通,36364,0/1
1033,白条,普通,36364,0/1
1034,麦穗鱼,普通,36364,0/1
1035,棒花鱼,普通,36364,0/1
1036,鳑鲏,普通,36364,0/1
1037,黄鳝,普通,36364,0
1038,沙塘鳢,普通,36364,0
1039,银鮈,普通,36364,1
1040,黄尾鲴,稀有,18519,0/1
1041,赤眼鳟,稀有,18519,0/1
1042,银鲴,稀有,18519,0/1
1043,鲮鱼,稀有,18519,0/1
1044,斑鳠,稀有,18519,0/1
1045,虹鳟,稀有,18519,0/1
1046,丁鱥,稀有,18519,0
1047,罗非鱼,稀有,18519,0
1048,松江鲈,珍稀,8824,0/1
1049,河鲈,珍稀,8824,0/1
1050,银鲑,珍稀,8824,0/1
1051,马口鱼,珍稀,8824,1
1052,宽鳍鱲,珍稀,8823,1
1053,斑鳜,珍稀,8823,0/1
1054,花鳗鲡,罕见,9091,0/1
1055,哲罗鲑,罕见,9091,0/1
1056,细鳞鲑,罕见,9091,0/1
1057,川陕哲罗鲑,罕见,9091,1
1058,长江鲟,极其罕见,4167,0/1
1059,白鲟,极其罕见,4167,1
1060,匙吻鲟,极其罕见,4166,0
2001,青蟹,稀有,18518,2
2002,山螃蟹,稀有,18518,1
2003,中华绒螯蟹,稀有,18518,0/1
2004,小龙虾,稀有,18518,0/1
2005,锦绣龙虾,罕见,9091,2
2006,罗氏沼虾,珍稀,8823,0/1
2007,青虾,普通,36364,0/1
2008,河蚌,普通,36364,0
2009,河蚬,普通,36364,0/1
2010,田螺,普通,36363,0
2011,缢蛏,普通,36363,2
2012,栉孔扇贝,珍稀,8823,2
2013,海螺,普通,36363,2
2014,帝王蟹,极其罕见,4166,2
3001,鲻鱼,普通,36363,2
3002,鲭鱼,普通,36363,2
3003,沙丁鱼,普通,36363,2
3004,鳀鱼,普通,36363,2
3005,秋刀鱼,普通,36363,2
3006,弹涂鱼,普通,36363,2
3007,竹蛏,普通,36363,2
3008,毛蚶,普通,36363,2
3009,贻贝,普通,36363,2
3010,大黄鱼,稀有,18518,2
3011,银鲳,稀有,18518,2
3012,真鲷,稀有,18518,2
3013,黑鲷,稀有,18518,2
3014,三疣梭子蟹,稀有,18518,2
3015,口虾蛄,稀有,18518,2
3016,中国对虾,稀有,18518,2
3017,长蛸,稀有,18518,2
3018,圆尾斗鱼,稀有,18518,0/1
3019,刺参,珍稀,8823,2
3020,皱纹盘鲍,珍稀,8823,2
3021,金乌贼,珍稀,8823,2
3022,大菱鲆,珍稀,8823,2
3023,黄唇鱼,罕见,9091,2
3024,苏眉鱼,罕见,9091,2
3025,马氏珠母贝,罕见,9090,2
3026,翻车鱼,极其罕见,4166,2
3027,皇带鱼,极其罕见,4166,2
